likelihood0_means,likelihood0_stds,likelihood1_means,likelihood1_stds,log_ratio_means,log_ratio_stds,powers
-163.80506848493914,12.927831579415955,-163.6982006902083,12.769099684005166,,,0.02
-173.42343977664075,14.62755506496365,-173.07471214004,13.913933906845495,,,0.02
-184.72021864174968,16.93104276700193,-183.56649074622138,15.280349805895453,,,0.32
-195.40462692413064,15.669642552319628,-193.03336864720583,13.351776300951649,,,0.57
-206.04195751588725,17.222833446910983,-202.07080662080259,14.316976833437048,,,0.78
-214.77346994765662,18.200541179682276,-209.15434093681506,14.52518815480056,,,0.821.0
-226.42601250122615,18.186544809760672,-218.25124883330153,13.931056705740412,,,0.94
-237.18092067385652,18.983110278796058,-226.31462156893866,14.033668954570434,,,0.96
-249.7283006420174,19.064607728339315,-235.13188976523475,13.141261075139022,,,0.99
-262.5746615888317,19.67663240523538,-243.814326344681,12.97230154503587,3.555142319885062,0.38822049736338626,1.0
-270.2107136784825,20.451369911983804,-248.97532746312015,13.245285541763762,3.67231796718185,0.441572970554613,0.99
-279.4402068143409,18.455279732906504,-254.4832618869553,11.303926983005397,3.863675889742672,0.3183625690266964,1.0
-293.4388222600752,20.625770830368054,-262.94474572164853,11.639570459053694,4.059241214846939,0.3389966538520256,1.0
-304.5506264984284,19.873375853993924,-269.15666989912535,10.998465461620654,4.226011111080446,0.2656847691367349,1.0
-316.5231854135737,21.899441030422803,-275.5277645776923,11.430656872676119,4.374064315268223,0.25697868265114654,1.0
-327.927976425421,21.700101936693557,-281.43234837868937,10.752844711474266,4.501543775248718,0.257607026471878,1.0
-337.6160301059177,20.913137143607035,-286.14887344831664,9.947795816240905,4.609935778364036,0.22453882697756372,1.0
-350.8108046446338,23.877683097111586,-292.28735975505043,10.83629571941864,4.736847157141732,0.2304352064205502,1.0
-361.0099699788921,21.70246862864069,-296.7111173512621,9.135827239231565,4.8362679129458375,0.20614499539218126,1.0
-368.72960433987834,25.53752509545196,-300.0127502933685,10.524635549892748,4.899206392467906,0.2201083157272118,1.0
-381.2599625211959,21.785117177449973,-304.95375714518536,8.314877370802632,5.011478059120639,0.18448894234914248,1.0
-395.4468421844213,19.338254250577922,-310.3200095294876,6.954365275446288,5.125821955919076,0.15489074741935366,1.0
-405.277570072627,19.55340692859154,-313.79429497519214,6.721904714005798,5.199087480930786,0.14440472773805896,1.0
-415.18859406938896,23.355614708477315,-316.8659890068711,7.667118223335508,5.268426295820509,0.16233885860350664,1.0
-425.41940513926266,20.759285778288127,-320.229605277818,6.313921758958915,5.339292891528394,0.13977155484149903,1.0
-439.6552167527817,24.12701792775684,-324.32384328951446,6.7397056373807915,5.42978496962678,0.14906144174341798,1.0
-446.601824265581,21.571946153414427,-326.21967635228253,5.5355349466289825,5.474334379352664,0.1402576603404375,1.0
-459.3265094182354,21.85719823415909,-329.425563403768,5.468445148935447,5.551914597649435,0.12673122755592447,1.0
-470.78437450969085,24.010828641449166,-332.08446733947284,5.391027844841854,5.616334340988174,0.1357470946164734,1.0
-479.6496538115855,23.723264789046652,-333.912007074787,4.774245037501434,5.666142188648828,0.13414976118122413,1.0
-490.274130804678,19.86617518609697,-336.01806640377123,3.8154838527455257,5.726307490149759,0.10466486039470067,1.0
-505.49127746173167,27.628018199015607,-338.7221956247971,4.4575481738629446,5.79967198362563,0.14399021032264153,1.0
-514.0286405380531,23.52195100584208,-339.85235814952716,3.591579930886461,5.846540187189646,0.1162227990863081,1.0
-520.7295177366711,25.35787831450774,-340.98845105205953,3.449748251774235,5.877261705649162,0.12167216841800095,1.0
-535.9959362063078,25.77907053874971,-342.6288853621068,3.230721175579799,5.950620435852052,0.12054622235281647,1.0
-547.1867074478562,26.93594134810899,-343.83219393946916,2.5678658414529907,6.000863932924499,0.1205063218815364,1.0
-559.4294893981604,25.420698694916116,-345.00731733291724,1.7401423160036922,6.054886130380258,0.11196358334532626,1.0
-567.4792656055754,24.64677191923556,-345.3036715349331,1.53469314780468,6.091208445550953,0.10388238710282434,1.0
-578.107623354751,24.124819565066858,-345.64357848194913,1.2397631610490711,6.136740817904326,0.10213008586885136,1.0
-590.3468585978776,24.188884097798823,-346.3032563165071,0.6426135977105941,6.185737635907514,0.09785153827559763,1.0
-600.8501850120062,24.95912962391863,-346.4786488487176,0.27018608502376973,6.227152439635896,0.09802204062316353,1.0
-604.0552737297523,25.692040871994784,-345.80474238717034,0.9322765018471015,6.242116588523084,0.09997178158742354,1.0
-622.2233547335882,24.286999513242264,-345.8546054936371,1.252152800873526,6.310652798222712,0.09244466130862582,1.0
-635.767068787048,25.514787544785268,-345.40624817420394,1.583022039562626,6.359850200144906,0.09467353645321643,1.0
-639.8427196860544,25.932960768493693,-345.1630266241233,1.8210913308693688,6.374561153149556,0.09499008059421678,1.0
-656.914382968335,24.027430424649694,-343.6100400442606,2.523153622169877,6.436721524032986,0.08507935038710243,1.0
-664.6162788376117,20.819264789839366,-343.00115928172454,2.1572002816894624,6.464018053210191,0.07014010584178998,1.0
-675.5491382170636,24.8461460403335,-341.9019447047857,2.8257708627021683,6.499792476603008,0.08302626735841229,1.0
-689.1411554088944,26.41431970098084,-339.8617063320635,3.8683521724927297,6.545046234665162,0.09059697693909882,1.0
-698.2369403851891,28.41106883231929,-338.13586416395026,4.648314232707907,6.5753316775860045,0.09176881063496682,1.0
-710.4473891687255,25.280637719983343,-335.91658644239914,5.027139676188348,6.61550493808779,0.0818636268913835,1.0
