likelihood0_means,likelihood0_stds,likelihood1_means,likelihood1_stds,log_ratio_means,log_ratio_stds,powers
-3352.2963653573074,10.743803157259059,-3351.4932712551467,11.241584543725514,0.10048683977947373,1.0301180230513196,0.1
-3358.9805475529233,18.315030129049358,-3357.5730633567246,17.83149066972179,0.8889438038321634,0.5359624134189869,0.2
-3358.6106124775242,12.635338577285454,-3357.7789661346533,12.495208289792581,0.3216748407880985,0.6506629086647983,0.0
-3353.9188111557787,12.505072090076304,-3352.975312371658,12.95683754958953,0.4792298298406412,0.5260716297066591,0.1
-3357.03392478998,6.4585901355634245,-3356.3863588556937,6.714292360468114,0.09150171235047451,0.5695717787469038,0.0
-3349.689599611097,10.38297154229961,-3348.5873493321915,10.765660820347849,0.612767385777281,0.6456663434077344,0.1
-3346.2597566025847,20.23292128818074,-3344.233849873469,21.986533181117732,0.9036165970869569,1.0510806184741774,0.4
-3349.555617910565,5.54786135204253,-3348.815985516496,5.851373050971394,0.2856088534920317,0.4907514961916952,0.0
-3342.1186057777522,13.358423985810946,-3340.330113583406,15.253040901784619,0.868322395398424,0.8331841268661794,0.2
-3334.114527859629,12.770771822561072,-3331.485856967921,14.683588123204794,1.4312020481579755,0.6416229321400277,0.5
-3342.1404277882766,8.978730867302374,-3340.6769776553106,9.866355924640304,0.8177512933991071,0.7914231554770814,0.2
-3346.4165359236986,12.255774080612651,-3345.037325906559,13.205723728993807,0.597431925561166,1.0357216200565833,0.3
-3332.5949970933025,8.434689818522287,-3329.6782456774417,10.082692993925004,1.5826829633309925,0.6047226009147254,0.7
-3328.7216467997787,8.875573586709237,-3325.3855818056204,10.469952214821497,1.7895112568082385,0.4530147876918068,0.8
-3328.824952075947,10.40058850519047,-3325.6038145861685,12.000714466986743,1.6869128249141094,0.6546434111352766,0.8
-3322.905161497565,13.44139825625737,-3318.3379782229654,16.04288591301936,2.0107682418756303,0.6652699545353837,0.7
-3333.453441518559,13.058032570028208,-3330.8112118071817,14.584938855013961,1.4489446055530226,0.7011032068462335,0.6
-3325.788785121223,15.056403367644812,-3321.444669364805,18.995727418841554,1.8811945593396016,0.6924014552614252,0.9
-3322.353925634612,13.045837738333736,-3317.880894118156,15.180324112017455,1.9854692148389865,0.7479270742636884,0.7
-3320.3320068161993,17.51363324992157,-3314.967887488225,20.660013639106797,2.004924390846901,1.0723312976490498,0.8
-3314.558182114683,10.701276946292175,-3308.342516524144,13.03013552332549,2.4230922821988052,0.47700338050383023,1.0
-3310.873466108997,17.93496257448031,-3303.0771988326887,22.541087677427516,2.4730685043611675,0.8361393429005154,0.9
-3314.3382537841803,13.669861447473352,-3307.836777935975,15.548297356340502,2.5006115973914147,0.39046743605083484,1.0
-3315.060570166764,10.064223963169301,-3308.904323657908,12.48587591496023,2.419830830226124,0.4372958650705501,1.0
-3302.5075671038094,17.09207440159728,-3292.6411821543347,22.018450572618658,2.8391524280204865,0.5533653157566166,1.0
-3312.8496268164868,11.693317946857167,-3306.4270542699487,14.377594418614567,2.4334853731415995,0.534898271661501,0.9
-3313.544714466424,9.521983569788473,-3307.385189326002,11.773293350236354,2.435519770468328,0.40255350563309145,1.0
-3310.1193025699736,12.513768790788307,-3302.7181035663402,15.571453637229222,2.572920130166178,0.5531825969619609,0.9
-3295.0416023924904,9.016652738907153,-3283.4134127811326,12.199806340606568,3.108529649699054,0.27699407544793303,1.0
-3305.735458046319,13.634214992061853,-3297.2356204602083,17.44600642229278,2.715071403048346,0.5181054336829065,1.0
-3297.6421809285225,10.171270543191195,-3286.7822045511266,13.288682602597262,3.0324399958671315,0.3130153214502534,1.0
-3290.332605294296,12.012994542680316,-3276.6471337115986,16.40198844064223,3.2538080068563895,0.3407641653361196,1.0
-3291.919716182073,14.961221214511447,-3278.8830739184464,20.546378976396333,3.1724635687588227,0.4239092757221652,1.0
-3297.0173728559516,11.154651169850915,-3285.767358178131,14.349098352879338,3.0745837974296717,0.27305483083729215,1.0
-3288.7356565723335,8.674473713576866,-3275.05926793848,12.12499074725632,3.2795555552659508,0.23782708441546804,1.0
-3290.4818638034026,14.88313614468962,-3276.746873428625,19.69977470205467,3.20957979092515,0.5274610528066076,1.0
-3279.2282680542603,15.283494294540464,-3260.925527187049,21.617756371077704,3.5370067098659477,0.3589441280921223,1.0
-3284.1755277392213,14.683321723917794,-3268.3028551476846,20.671368484257442,3.3869685935653306,0.3836229519046426,1.0
-3282.402489829813,15.900829036943902,-3265.6478261232846,23.123270634184937,3.4325783766167475,0.38248121985460026,1.0
-3277.8879239856083,12.409064081954877,-3259.118496960499,18.174937865776883,3.5759598951547398,0.316823392345988,1.0
-3278.3769864492497,13.87266637176709,-3259.8552047370713,19.542077640856448,3.5475736150257555,0.3929903760226048,1.0
-3280.4685994789897,10.989501233669046,-3263.010505476451,15.14362114829481,3.523360465048846,0.24566428402551896,1.0
-3278.815672378171,10.588583275507347,-3260.9711941403234,15.659604356119157,3.5437027485650985,0.23440744112166742,1.0
-3275.2494983946885,12.772463803876752,-3255.547659674377,18.652560717554515,3.6236025446177216,0.3266929925713822,1.0
-3272.6545217027974,12.080817773509278,-3251.7221090478834,17.901603331607085,3.692820158917489,0.2921993070030182,1.0
-3268.824620308306,14.942336373327333,-3246.057102941823,22.597269674611685,3.770027850952675,0.3006211366367327,1.0
-3265.848114608706,10.736177380012847,-3241.8716824019325,16.219177169131715,3.8437529304146265,0.2318179152823332,1.0
-3264.3992536637707,13.850203644924493,-3239.5244121833966,21.213968479748946,3.8644004176333517,0.29064277807792877,1.0
