,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,3
9,1
10,2
11,1
12,1
13,2
14,2
15,2
16,0
17,1
18,1
19,3
20,0
21,1
22,1
23,2
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,2
