,0
0,1
1,1
2,2
3,1
4,2
5,2
6,2
7,2
8,3
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,0
17,2
18,2
19,2
20,2
21,2
22,3
23,1
24,0
25,0
26,2
27,0
28,0
29,0
30,2
31,2
