,0
0,3
1,3
2,3
3,3
4,1
5,2
6,2
7,2
8,3
9,3
10,3
11,3
12,0
13,0
14,2
15,2
16,3
17,3
18,0
19,3
20,0
21,2
22,2
23,2
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,2
