,0
0,1
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,1
9,3
10,3
11,1
12,1
13,2
14,2
15,1
16,3
17,3
18,3
19,3
20,2
21,2
22,2
23,2
24,3
25,0
26,0
27,0
28,0
29,0
30,2
31,2
