,0
0,3
1,3
2,3
3,1
4,2
5,2
6,2
7,2
8,3
9,3
10,3
11,0
12,0
13,2
14,2
15,1
16,3
17,0
18,0
19,0
20,2
21,2
22,0
23,2
24,3
25,0
26,0
27,0
28,0
29,2
30,0
31,2
