,0
0,3
1,3
2,1
3,1
4,1
5,1
6,1
7,1
8,3
9,3
10,3
11,3
12,3
13,3
14,1
15,2
16,3
17,3
18,3
19,3
20,0
21,3
22,0
23,2
24,3
25,3
26,0
27,0
28,0
29,3
30,0
31,0
