,0
0,3
1,1
2,1
3,1
4,1
5,1
6,2
7,2
8,3
9,3
10,3
11,3
12,0
13,2
14,2
15,2
16,3
17,3
18,3
19,3
20,0
21,0
22,2
23,2
24,0
25,0
26,0
27,0
28,0
29,2
30,2
31,2
