,0
0,3
1,3
2,1
3,2
4,2
5,1
6,2
7,2
8,3
9,3
10,1
11,2
12,2
13,2
14,2
15,2
16,3
17,3
18,0
19,2
20,2
21,2
22,0
23,2
24,0
25,0
26,0
27,0
28,2
29,0
30,2
31,2
