,0,1,2,3
0,-4.02224991365237,-4.040518172015908,-4.030050713538397,-4.020713203361143
1,-3.1542672657284276,-3.213674812925703,-3.230629473773808,-2.5170109244669843
2,-2.653679223992351,-2.666336913984501,-2.7341328498121023,-2.0603915468593494
3,-2.1055150688838347,-1.941630702539612,-1.9580604902049015,-1.3171496535752585
4,-0.9953755061508667,-0.771580565199436,-0.07918663129542872,-1.3033989161364712
5,-0.6053833794565823,-0.3571028288359982,-0.8772542129658484,0.5963304796746016
6,-0.36086165247105784,-0.21390955108983128,-0.16619959320375793,0.4603774107272311
7,0.0,0.0,0.0,0.0
8,-4.288252847177626,-4.326407201540081,-4.3363672217675004,-3.9266411226481464
9,-3.8788638370672475,-3.843057364609528,-3.8118703260709936,-3.0148936460478963
10,-2.6851257244238056,-2.561666940882791,-1.9903217333382313,-3.113450457745309
11,-1.7607432160059178,-2.29112558698931,-2.881462135846423,-1.259671446748371
12,-1.1736024726904153,-1.491347332863566,-1.4441693111801064,-0.5810172815958436
13,0.1504899911288352,-0.7215808924600755,-0.6800470706270876,-0.5112455487166521
14,-1.2137269605388696,0.2376011223668377,-0.0865449530871179,-0.31373120931813514
15,0.9066345780854933,-0.32110027069381375,0.023458602612798612,-0.20214677351430793
16,-4.545190837055709,-5.449322346636237,-5.103222510787048,-5.13004566954797
17,-3.580016837776815,-4.807905847783083,-4.682250424634762,-4.289909293992924
18,-3.4189465153381633,-3.7622974585919273,-3.7645787913334705,-2.343739265950881
19,-2.5057376446261603,-3.2841114619932874,-2.6837409424920757,-1.7465782029217636
20,-1.0836129354148647,-2.0227391196438202,-2.088679494672438,-1.5583888773001586
21,-0.673384180262903,-1.5250705543113527,-1.5721499970195063,-1.3466968184147385
22,-0.9758522310639332,-0.598140315066701,-0.34381569112063093,-1.2559025911422823
23,0.15311002913116192,-0.6185883006125318,-0.8234736745307847,-0.5797106449494828
24,-5.3748661707499155,-5.9513649459309885,-5.9323888687676485,-6.010276316956714
25,-5.133255560453885,-5.166240965500854,-5.610163490116032,-4.221230093524312
26,-3.219364613715934,-4.189081876414408,-4.235650584123194,-3.9213374661742884
27,-3.3357869170017405,-2.9456160336917008,-2.6870439719703865,-3.279494033295385
28,-2.4540909034355285,-2.6120725104817537,-2.7977250874911337,-2.1992007392552413
29,-1.8613566340755607,-1.8400373866654545,-1.8968938134647522,-1.401585230600548
30,-1.3395164319167403,-1.6293453047009807,-1.3666910199420848,-0.9157601697115489
31,-0.26496319716758865,-1.328784209182251,-1.0936491261928696,-1.1949105749495372
