,0
0,3
1,3
2,3
3,3
4,2
5,3
6,3
7,3
8,3
9,3
10,2
11,3
12,3
13,0
14,1
15,0
16,0
17,0
18,3
19,3
20,0
21,0
22,2
23,0
24,0
25,3
26,0
27,2
28,3
29,3
30,3
31,0
